They do to!	They do not!
Yes. I'm waiting for my lunch.	Your lunch? You have a luncheon appointment here?
Your lunch? You have a luncheon appointment here?	Yes. Louise will bring me lunch.
Yes. It's very cold outside today, isn't it, Thomas?	... How long have you been living here?
... How long have you been living here?	Ever since I can remember, since I was a child.
Ever since I can remember, since I was a child.	Since you were a child?
Yes, I will.	Now, Ben, did you happen to get a chance to...
You look much taller on television, Mr. President.	... Oh, really...
Sid, it's useless!	I said - try again.
... Yes, I am, Ben.	That's good... That's good.
Good evening, Mrs. Rand.	Good evening, Wilson.
And look who you brought with!	Sophie, this is Chauncey Gardiner...
Sophie, this is Chauncey Gardiner...	Oh, I've been just dying to meet you, Mr. Gardiner!
Oh, I've been just dying to meet you, Mr. Gardiner!	Chauncey, this is Mrs. Sophia Rowley.
I can certainly understand that...	Of course... I'm so sorry for you, Eve...
... Maybe you should talk to somebody, darling.	No, that won't do any good.
No, that won't do any good.	... Is it me? Is there something I've done?
... Is it me? Is there something I've done?	Oh, no, sweetheart - it's not you...
It's that gardener!	Yes, Chauncey Gardiner.
Yes, Chauncey Gardiner.	No! He's a real gardener!
No! He's a real gardener!	He does talk like one, but I think he's brilliant.
Yes? What have you found?	We have nothing on him, Ambassador Skrapinov.
We have nothing on him, Ambassador Skrapinov.	Quietly, please. Mr. Gardiner, for one, understands our language.
Quietly, please. Mr. Gardiner, for one, understands our language.	Sorry, Comrade Ambassador.
Sorry, Comrade Ambassador.	What do you mean there is nothing? That's impossible.
Thank you, Colonel.	Let us toast to the success of the coup.
Take care of yourself, Ben.	You take care too, Bobby.
It's that serious, huh?	I'm afraid so.
I'm being controlled by the world's greatest puppeteer, Craig Schwartz...	Oh yeah, he's good.
The one where you're that jewel thief.	I never played a jewel thief.
I never played a jewel thief.	Who am I thinking of?
Who am I thinking of?	I don't know.
Oh, thank you! Thank you! Thousand times, thank you!	Tell your friends.
Hello, I'm here about the ad.	Please, have a seat.
A better friend.	I'm sorry for everything.
You came up here looking for the portal?	Yeah. I was going to kill him from the inside.
You'll have me, after all I've done to you?	People make mistakes.
You're not a monster, Craig. Just a confused man.	I love you so much.
It'll never happen, fuckface.	Ah, but you're forgetting one thing, Lambchop.
Tell her, what the hell, close early today, live dangerously.	What the hell, darling. Close early today, live dangerously.
Yeah, well welcome to the nineties.	Suck my dick!
I'm sorry. That was nasty.	Life is confusing, isn't it?
And he was with her.	We love her, Craig. I'm sorry.
Me and John.	Don't forget me.
Don't forget me.	Well, you have the Maxine action figure to play with.
What are you doing?	I'm moving. Remember? What's with the hooded cloak?
You should feed your animals. They're looking peaked.	I'm getting rid of the fucking animals.
No they're not.	You've always hated the animals.
You've always hated the animals.	You've always loved the animals.
How was it?	I have to go back tonight. At eight Exactly.
I have to go back.	Okay. Maybe tomorrow.
Okay. Maybe tomorrow.	I have to go back now.
I have to go back now.	We'll talk about it in the car.
I was worried.	I'm sorry. How was your evening?
I'm sorry. How was your evening?	Tom-Tom's puncture wound is infected.
Yeah. You want a beer?	No thanks. I'm going to turn in.
Yeah, just an idea I had.	She's very beautiful.
She's very beautiful.	Just an idea I had.
Isn't that cute? I just taught her that.	Adorable. What time are they supposed to be here?
Why'd you do it, Craig?	I'm a puppeteer.
So how was it?	That... was... no... simulation.
That... was... no... simulation.	I know. I'm sorry...
Sure, after a fashion.	Let me try.
Holy shit, yes!	Holy shit, yes!
Holy shit, yes!	Holy shit! He said what I said!
Holy shit! He said what I said!	Holy shit! He said what I said!
My name is Schwartz.	Money, Miss Warts?
You're making a big mistake, Schwartz.  Ma'am	Dr. Lester, I don't know what you're talking about.
Well, sir, I'm an excellent filer.	You think so, eh? Which comes first, L or... Glooph?
You think so, eh? Which comes first, L or... Glooph?	Glooph is not a letter, sir.
Come in, Mr. Juarez. I'd stand, but, well, you know.	Actually, my name is Craig Schwartz, Dr. Lester.
Lotte? Is that you?	Yes, yes, sweetheart, yes!
Are you torturing me on purpose?	I've fallen in love.
You picked the unrequited variety. Very bad for the skin.	You're evil, Maxine.
This is amazing! We're gonna be rich!	So unbolt the fucking door, Einstein.
Is this Malkovich fellow appealing?	Yes, of course. He's a celebrity.
Yes, of course. He's a celebrity.	Good. We'll sell tickets.
Good. We'll sell tickets.	Tickets to Malkovich?
Tickets to Malkovich?	Exactly. Two hundred dollars a pop.
Exactly. Two hundred dollars a pop.	But there's something profound here, Maxine, we can't exploit it.
You wanted to be partners with me?	Sure. It'd be fun.
This is important!	It better be.
You're a fag or a liar.	I mean, I am really attracted to you.
What'll you have?	The usual, Barry.
The usual, Barry.	I'll have, like, a beer. Like a Budweiser, or something.
Is that true?	Well, truth is for suckers, isn't it?.
Well, truth is for suckers, isn't it?.	Listen. I'm Craig Schwartz, just starting out at LesterCorp.
Long term psychic or physiological repercussions?	No. Don't be an ass.
No. Don't be an ass.	Can I be anyone I want?
Can I be anyone I want?	You can be John Malkovich.
Two hundred dollars, please.	Yes. Yes. A thousand times, yes!
I was just asking. No disrespect intended.	Fine. Let's drop it.
The Great Mantini?	No, the Mediocre Mantini. Of course the Great Mantini!
But I think I have another plan.	Do tell. I love a good plan.
Do tell. I love a good plan.	Why are you being like this?
We saw his show at the Luxor last night.	Vegas? What'd you think?
A scary dream?	No, a sexy dream. Of course, a scary dream.
No, a sexy dream. Of course, a scary dream.	I like that.
Yes, my dear?	Someone names A Lot of Warts on line two.
Someone names A Lot of Warts on line two.	Thank you, Floris.
Thank you, Floris.	Think, Jew florist?
Think, Jew florist?	Good morning, Lotte!
Floris, get Guinness on the phone.	Gehginnis ondah foam?
I'm sure you're not going crazy.	Kevin, I'm telling you... it was like nothing I've...
Kevin, I'm telling you... it was like nothing I've...	Yeah yeah yeah. Yadda yadda yadda. Were you stoned?
I gotta know the truth, Kevin.	The truth is for suckers, Johnny-Boy.
Do we get to wear a crown?	But of course.
But of course.	Count me in.
No! Don't harm the vessel!	It's Craig in there, I can tell.
No, I didn't know that.	Oh, didn't anyone show you the indoctrination video?
I'm getting divorced.	No you mustn't, my child.
No you mustn't, my child.	But why, Son of Malkovich?
Tell me, Lotte, can you understand a word I'm saying?	Yes, of course, Dr. Lester.
Yes, of course, Dr. Lester.	Oh, be still my heart.
Oh, be still my heart.	Dr. Lester, would you point me toward the restroom?
But Maxine, I thought it was me you loved.	I thought so too, doll. I guess we were mistaken.
J.M. Inc. Be all that someone else can be.	I have to see you.
Oh my darling. Oh my sweetheart.	I love you, Lotte.
What's the play?	"Say... ""Equus""? It's got everything."
"Say... ""Equus""? It's got everything."	Never heard of it.
Sounds boring. Are there any songs?	Nothing but acting to hide behind, buddy-boy.
She's not available.	We'll see, Schwartz. We'll see.
Hello, Schwartz. I saw your show.	Did you see the reviews?
Did you see the reviews?	Yeah, I saw them
Honey, we can be happy and poor together.	Perhaps you'll want to consult that Ouija board again.
Bad dream, darling?	I've got to leave Malkovich.
I've got to leave Malkovich.	You've got to be kidding.
Doesn't he know how important tonight is to us?	He's a selfish bastard.
That was incredible. You're brilliant!	You see, Maxine, it isn't just playing with dolls.
Wow.  Do a puppet show for me, Craig honey.	You mean with Malkovich?
You mean with Malkovich?	I'd love to see your work.
I'd love to see your work.	Really? Yeah. Okay.
Yes. How did you know it was me?	Lotte called me.
Lotte called me.	Oh, so the bitch escaped.
Oh, so the bitch escaped.	Apparently you can control this Malkovich fellow now.
Apparently you can control this Malkovich fellow now.	I'm getting better all the time.
Come on in.	I can explain about the portal, darling.
Oh, my sweet, beautiful Lotte.	Yes, Maxine, yes.
"I'm sorry, did you just call me ""Lotte""?"	Do you mind?
Do you mind?	No, I guess not. I'm an actor.
So, do you enjoy being an actor?	Oh sure. It's very rewarding...
Thanks so much for coming over.	Oh, I'm really glad you called.
Can I get you a drink?	Whatever you're having.
Then what do I do?	Know it, and go on out the yard. Go on.
The Word. What you was put here to speak.	That's the last thing they took from me.
Blue. That doesn't hurt nobody. Yellow neither.	You getting into bed to think about yellow?
You getting into bed to think about yellow?	I likes yellow.
Can't say. It's something can't be planned.	You blaming God. That what you're doing?
You blaming God. That what you're doing?	No, Stamp. I ain't.
No, Stamp. I ain't.	You saying whitefolks won. That what you saying?
You saying nothing counts?	I'm saying they came into my yard.
I'm saying they came into my yard.	You punishing Him, ain't you?
You punishing Him, ain't you?	Not like He punished me.
Not like He punished me.	You can't do that, Baby. It ain't right.
You can't do that, Baby. It ain't right.	Was a time I knew what was.
Was a time I knew what was.	You still know.
I got a delivery around here. Name of Tucker.	Yonder. Twin chestnuts in the yard.
Folks come. Folks go.	Here, let me carry that.
WATCH OUT FOR HER; SHE CAN GIVE YOU DREAMS.	WHERE ARE THE MEN WITHOUT SKIN?
YOU HURT ME.	I WILL PROTECT YOU.
I want somethin' sweet.	We don't have nothing sweet no more, baby.
You don't sit with me!!	Baby, don't be like that.
Don't say those things. You forget about those dreams..	You gave me the bad dreams. You left me behind...
WILL YOU STAY?	WHY DID YOU LEAVE ME WHO AM YOU?
WHY DID YOU LEAVE ME WHO AM YOU?	I WILL NEVER LEAVE YOU AGAIN.
DID YOU COME FROM THE OTHER SIDE.	YES. I WAS ON THE OTHER SIDE.
YES. I WAS ON THE OTHER SIDE.	YOU CAME BACK BECAUSE OF ME?
YOU NEVER FORGOT ME?	YOUR FACE IS MINE.
Well, if you want my opinion...	I don't. I have my own.
Well, is it now? How you getting along?	Don't pay to complain.
Don't pay to complain.	You on your way home?
Fine. But what would I do at night?	Be here. In case.
Be here. In case.	In case of what?
May I come in?	What you want?
What you want?	I want to see Mr. and Mrs. Bodwin.
I want to see Mr. and Mrs. Bodwin.	Miss Bodwin. They brother and sister, darlin.
I want to work, Miss Lady.	Work? Start learnin your letters again?
Work? Start learnin your letters again?	No. I mean work work.
No. I mean work work.	Well, what can you do?
Mama...Mama she's asleep. Why don't you eat something.	She likes this dress...
Mama let me help you.	NO!...She wanted me to do it.
OUT THERE. WAY OFF.	DADDY IS COMING FOR US.
DON'T LOVE HER TOO MUCH.	DO YOU FORGIVE ME?
Should I wake her?	No, let her rest.
No, let her rest.	She likes to see you off in the morning.
OOh, yeah...Don't know if it's the floor or the skating.	Could be that fall you took.
Could be that fall you took.	That was fun.
You was friends.	Till she showed herself.
What's any of that got to do with Paul D.?	What run him off? Tell me that!
What run him off? Tell me that!	I run him off.
He knew Baby Suggs?	Sure he knew her. Her boy Halle, too.
I know what I see.	Might see anything at all at 124.
Better ask Paul D.	Can't locate him.
Can't locate him.	He's sleeping in the church.
He ask, I give him anything.	Why's that necessary all of a sudden?
Why's that necessary all of a sudden?	I don't know him that well.
I don't know him that well.	You know he's colored? What else there to know?
Was over to Baby Suggs.	What you want there? Somebody invite you in?
All he can. All he can.	Why? Why? Why? Why? Why?
It ain't what you think.	You don't know what I think.
Who is she? Where she come from?	Don't know. Just shot up one day from a stump.
You remember your price, Stamp?	Never found out.
If it's hard for you, might kill me dead.	I come looking for you to ask your pardon. Apologize.
You planning to do anything about it?	Oh yeah. I got big plans.
Yeah. Look bad?	No, You looking good.
Make it the way I always do.	Yeah. Too sweet.
What? What? You talking back to me?	I'm telling you don't say nothing to me.
